date,city,weather,sunriseTime,sunsetTime,precipProbability,precipType,temperatureHigh,temperatureLow,humidity,pressure,windSpeed,day
2020-02-21,Sydney,3,19:45:00,08:53:00,0.17,0,72.02,56.2,0.79,1022.3,3.52,2020-02-21
2020-02-22,Sydney,1,19:46:00,08:52:00,0.15,0,78.03,55.03,0.73,1022.2,2.77,2020-02-22
2020-02-23,Sydney,3,19:46:00,08:51:00,0.13,0,83.1,56.05,0.71,1019.4,2.34,2020-02-23
2020-02-24,Sydney,3,19:47:00,08:50:00,0.08,0,81.06,61.34,0.71,1014.5,3.43,2020-02-24
2020-02-25,Sydney,0,19:48:00,08:48:00,0.13,0,79.32,51.28,0.61,1006.5,6.69,2020-02-25
2020-02-26,Sydney,3,19:49:00,08:47:00,0.13,0,78.36,44.8,0.56,1009.7,4.15,2020-02-26
2020-02-27,Sydney,3,19:50:00,08:46:00,0.03,0,78.58,53.64,0.51,1011.9,3.3,2020-02-27
2020-02-28,Sydney,3,19:51:00,08:45:00,0.02,0,80.16,53.45,0.69,1015.3,3.25,2020-02-28
2020-02-29,Sydney,3,19:52:00,08:43:00,0.05,0,83.92,61.0,0.61,1011.7,4.4,2020-02-29
2020-03-01,Sydney,1,19:53:00,08:42:00,0.04,0,84.63,53.18,0.46,1010.4,4.57,2020-03-01
2020-03-02,Sydney,1,19:54:00,08:41:00,0.14,0,70.71,55.79,0.79,1018.1,3.59,2020-03-02
2020-03-03,Sydney,4,19:55:00,08:39:00,0.93,0,62.42,60.34,0.97,1017.7,2.7,2020-03-03
2020-03-04,Sydney,4,19:56:00,08:38:00,0.95,0,62.21,58.48,1.0,1009.1,4.35,2020-03-04
2020-03-05,Sydney,4,19:57:00,08:37:00,0.56,0,74.86,53.84,0.89,1009.6,2.71,2020-03-05
2020-03-06,Sydney,4,19:57:00,08:35:00,0.28,0,70.7,51.98,0.81,1019.1,3.95,2020-03-06
2020-03-07,Sydney,4,19:58:00,08:34:00,0.61,0,62.41,50.53,0.87,1020.2,2.64,2020-03-07
2020-03-08,Sydney,4,19:59:00,08:32:00,0.27,0,66.92,46.54,0.84,1020.7,2.83,2020-03-08
2020-03-09,Sydney,4,20:00:00,08:31:00,0.26,0,68.83,49.33,0.8,1021.2,2.3,2020-03-09
2020-03-10,Sydney,4,20:01:00,08:30:00,0.27,0,72.8,48.25,0.79,1022.7,2.61,2020-03-10
2020-03-11,Sydney,0,20:02:00,08:28:00,0.05,0,73.97,48.16,0.75,1023.4,2.38,2020-03-11
2020-03-12,Sydney,0,20:03:00,08:27:00,0.05,0,75.45,44.88,0.74,1017.6,4.03,2020-03-12
2020-03-13,Sydney,4,20:03:00,08:25:00,0.78,0,62.38,39.42,0.75,1017.6,6.5,2020-03-13
2020-03-14,Sydney,0,20:04:00,08:24:00,0.04,0,67.88,43.73,0.65,1023.3,3.99,2020-03-14
2020-03-15,Sydney,3,20:05:00,08:23:00,0.03,0,69.03,44.05,0.74,1026.5,4.87,2020-03-15
2020-03-16,Sydney,0,20:06:00,08:21:00,0.05,0,72.51,45.81,0.75,1027.3,2.77,2020-03-16
2020-03-17,Sydney,0,20:07:00,08:20:00,0.03,0,78.14,53.47,0.68,1024.5,3.34,2020-03-17
2020-03-18,Sydney,3,20:08:00,08:18:00,0.03,0,81.1,57.06,0.66,1021.5,3.05,2020-03-18
2020-03-19,Sydney,0,20:08:00,08:17:00,0.0,0,80.53,46.43,0.56,1014.7,6.79,2020-03-19
2020-03-20,Sydney,0,20:09:00,08:15:00,0.04,0,72.7,46.76,0.71,1019.2,3.53,2020-03-20
2020-03-21,Sydney,3,20:10:00,08:14:00,0.06,0,76.02,45.33,0.64,1019.4,3.71,2020-03-21
2020-03-22,Sydney,3,20:11:00,08:13:00,0.08,0,69.52,48.22,0.67,1024.5,4.13,2020-03-22
2020-03-23,Sydney,1,20:12:00,08:11:00,0.07,0,66.95,51.91,0.79,1022.4,2.2,2020-03-23
2020-03-24,Sydney,4,20:12:00,08:10:00,0.7,0,76.0,44.19,0.73,1019.5,3.33,2020-03-24
2020-03-25,Sydney,4,20:13:00,08:08:00,0.28,0,68.45,46.85,0.72,1025.5,5.26,2020-03-25
2020-03-26,Sydney,0,20:14:00,08:07:00,0.16,0,69.31,44.6,0.8,1025.8,3.32,2020-03-26
2020-03-27,Sydney,1,20:15:00,08:05:00,0.04,0,68.92,51.12,0.78,1023.9,2.75,2020-03-27
2020-03-28,Sydney,4,20:16:00,08:04:00,0.59,0,71.95,56.17,0.83,1018.1,3.27,2020-03-28
2020-03-29,Sydney,4,20:16:00,08:03:00,0.91,0,73.52,51.52,0.86,1013.4,3.96,2020-03-29
2020-03-30,Sydney,0,20:17:00,08:01:00,0.07,0,73.86,51.04,0.76,1016.3,2.96,2020-03-30
2020-03-31,Sydney,3,20:18:00,08:00:00,0.12,0,75.13,55.88,0.73,1018.0,2.61,2020-03-31
2020-04-01,Sydney,4,20:19:00,07:58:00,0.94,0,61.93,49.81,0.96,1012.1,4.32,2020-04-01
2020-04-02,Sydney,4,20:20:00,07:57:00,0.72,0,65.85,54.21,0.84,1007.2,3.35,2020-04-02
2020-04-03,Sydney,4,20:20:00,07:55:00,0.89,0,59.67,42.58,0.81,1000.5,11.08,2020-04-03
2020-04-04,Sydney,3,20:21:00,07:54:00,0.2,0,56.82,47.84,0.71,1012.4,9.88,2020-04-04
2020-04-05,Sydney,3,20:22:00,07:53:00,0.23,0,66.82,47.32,0.74,1018.6,3.79,2020-04-05
2020-04-06,Sydney,1,20:23:00,07:51:00,0.15,0,62.18,47.9,0.79,1022.5,2.32,2020-04-06
2020-04-07,Sydney,4,20:24:00,07:50:00,0.48,0,60.27,45.41,0.87,1023.4,3.21,2020-04-07
2020-04-08,Sydney,4,20:25:00,07:49:00,0.29,0,65.4,51.95,0.83,1026.0,4.64,2020-04-08
2020-04-09,Sydney,4,20:25:00,07:47:00,0.92,0,66.09,48.83,0.87,1016.0,3.91,2020-04-09
2020-04-10,Sydney,6,20:26:00,07:46:00,0.23,0,58.51,34.94,0.72,1005.5,9.93,2020-04-10
2020-04-11,Sydney,0,20:27:00,07:45:00,0.01,0,62.92,40.28,0.66,1016.1,3.39,2020-04-11
2020-04-12,Sydney,3,20:28:00,07:43:00,0.01,0,65.82,41.73,0.78,1020.8,2.78,2020-04-12
2020-04-13,Sydney,0,20:29:00,07:42:00,0.06,0,72.82,48.93,0.76,1024.0,2.42,2020-04-13
2020-04-14,Sydney,3,20:29:00,07:41:00,0.03,0,74.65,52.6,0.7,1021.4,3.47,2020-04-14
2020-04-15,Sydney,6,20:30:00,07:39:00,0.08,0,69.52,45.44,0.69,1011.2,8.34,2020-04-15
2020-04-16,Sydney,0,20:31:00,07:38:00,0.01,0,68.28,38.8,0.58,1011.8,5.06,2020-04-16
2020-04-17,Sydney,0,20:32:00,07:37:00,0.01,0,68.19,42.37,0.67,1013.4,3.07,2020-04-17
2020-04-18,Sydney,3,20:33:00,07:36:00,0.04,0,63.49,43.0,0.71,1015.0,2.9,2020-04-18
2020-04-19,Sydney,1,20:33:00,07:34:00,0.05,0,62.51,40.99,0.72,1014.2,5.95,2020-04-19
2020-04-20,Sydney,0,20:34:00,07:33:00,0.05,0,64.88,43.67,0.75,1016.8,4.27,2020-04-20
